求和项:megaHeightPerSecond,列标签,,,,,,,
行标签,5,50,100,200,400,800,1600,3200
1,0.42,3.32,2.82,3.42,3.53,3.5,3.43,3.39
2,0.33,5.18,6.44,5.56,5.85,6.98,7.05,6.9
4,0.15,5.51,0.62,8.58,6.74,6.65,12.44,10.42
8,0.1,7.68,13.58,14.94,18.83,21.04,23.15,19.25
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,5,50,100,200,400,800,1600,3200
1,0.42,3.32,2.82,3.42,3.53,3.5,3.43,3.39
2,0.33,5.18,6.44,5.56,5.85,6.98,7.05,6.9
4,0.15,5.51,0.62,8.58,6.74,6.65,12.44,10.42
8,0.1,7.68,13.58,14.94,18.83,21.04,23.15,19.25
,,,,,,,,
,1,10,100,1000,10000,100000,500000,1000000
1 thread to 2 thread,-0.545454545,0.718146718,1.124223602,0.769784173,0.793162393,1.026950355,1.026950355,1.017391304
2 thread to 4 thread,-2.4,0.119782214,-18.77419355,0.703962704,0.264094955,-0.09924812,0.866559486,0.6756238
4 thread to 8 thread,-1,0.565104167,1.908689249,0.851405622,1.284121083,1.367870722,0.925269978,0.917402597